state_code,univ_system,univ_id,univ_name,received_recruiting,purchase_student_list,denial_reason,received_cb_orders,received_cb_lists,received_act_orders,received_act_lists,received_nrccua_orders,received_nrccua_lists,received_encoura_orders,received_encoura_lists
TX,TX A&M,459949,Texas A & M University-San Antonio,Y,Y,burden,Y-,N,N,N,N,N,N,N
TX,U of Houston,225511,University of Houston,Y-,Y,,Y,N,N,N,N,N,N,N
TX,U of Houston,225414,University of Houston-Clear Lake,Y,Y,,Y?,N,N,N,N,N,Y,N
TX,U of Houston,225432,University of Houston-Downtown,Y,Y,,Y-,Y,N,N,N,N,N,N
TX,U of Houston,225502,University of Houston-Victoria,Y,Y,,Y,Y-,N,N,N,N,N,N
TX,UNT,227216,University of North Texas,N,N,N,N,N,N,N,N,N,N,N
TX,UNT,484905,University of North Texas at Dallas,Y,Y,,N,Y-,N,Y-,N,N,N,N
TX,TX Tech,222831,Angelo State University,N,N,N,N,N,N,N,N,N,N,N
TX,TX Tech,229115,Texas Tech University,N,N,N,N,N,N,N,N,N,N,N
TX,Indy TX,226833,Midwestern State University,Y-,Y,,N,Y-,N,Y-,N,Y-,N,N
TX,Indy TX,228431,Stephen F Austin State University,Y-,Y,,Y,Y,N,N,N,N,N,N
TX,Indy TX,229063,Texas Southern University,Y,Y,,N,Y,N,Y,N,N,N,N
TX,Indy TX,229179,Texas Woman's University,Y,Y,,Y,Y,N,N,N,N,Y,Y
