district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Rochester Area School District, Pennsylvania",6658,4823,40854,50959,45088,5383,728,18,24,0,0,262,243,99,51,125,61,18,45,0,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,13,0,0,0,42,20460
"Rockwood Area School District, Pennsylvania",5088,3778,50911,61146,60333,5007,3,24,7,0,0,23,24,91,50,113,61,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,6,9,2,42,20520
"Rose Tree Media School District, Pennsylvania",35931,26725,100681,124353,122790,31228,1158,63,2043,0,120,661,658,526,358,370,204,27,34,0,0,0,9,0,0,11,4,9,68,0,0,0,0,8,4,11,0,0,5,45,7,6,17,0,7,42,20550
"South Fayette Township School District, Pennsylvania",15614,10953,86858,125823,103457,13606,152,27,1488,0,23,96,222,350,57,360,139,0,0,0,0,0,0,0,0,84,0,9,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,42,20580
"St. Marys Area School District, Pennsylvania",18094,13582,54443,64694,74877,17719,103,6,133,0,0,19,114,290,147,316,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,42,20640
"Salisbury Township School District, Pennsylvania",13887,10201,76746,96555,93115,11818,226,11,197,0,0,358,1277,274,83,151,139,1,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,12,0,1,0,42,31,42,43,32,0,42,20730
"Schuylkill Valley School District, Pennsylvania",15956,11495,74029,84750,85469,13536,349,30,278,0,15,157,1591,276,91,168,107,0,26,0,8,0,9,0,9,3,11,7,0,0,0,0,0,91,0,0,27,3,5,6,0,108,31,9,49,42,20970
"Northeastern York School District, Pennsylvania",24673,17234,68868,78782,76225,21296,1250,19,299,0,21,393,1395,418,175,416,222,70,0,27,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,7,18,8,15,0,13,42,17520
"Northern Bedford County School District, Pennsylvania",6730,4487,55963,71875,66488,6546,9,4,38,0,0,81,52,117,77,154,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,0,42,17580
"Northern Cambria School District, Pennsylvania",7305,5121,48350,54653,61957,7230,2,1,16,0,0,43,13,78,72,66,45,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,17610
"Northern Lebanon School District, Pennsylvania",17938,12391,63125,73878,75139,16511,299,0,81,13,9,243,782,275,108,357,133,3,2,0,81,0,0,0,0,0,0,5,13,0,0,0,0,0,5,15,0,0,9,0,13,11,16,18,13,42,17640
"Northern Lehigh School District, Pennsylvania",13077,9356,64339,88152,73799,12445,18,0,18,0,13,231,352,212,51,150,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,11,0,42,17670
"Northern Potter School District, Pennsylvania",3907,2702,42317,49844,59400,3761,32,1,0,0,0,37,76,97,70,52,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,42,17700
