district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Fort Payne City School District, Alabama",14115,9191,40273,51058,42215,9972,476,26,17,0,0,376,3248,149,74,176,87,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,85,0,45,9,14,24,0,13,85,100,83,9,01,01560
"Franklin County School District, Alabama",21685,14653,43710,53438,51361,19112,433,88,10,0,10,268,1764,386,233,395,163,3,0,14,0,0,0,0,0,3,0,1,0,0,0,0,0,19,0,3,9,7,0,7,0,86,0,26,19,01,01590
"Gadsden City School District, Alabama",35486,24697,32642,31680,37755,19267,12613,121,371,0,20,564,2530,277,239,234,139,274,277,306,171,0,0,32,26,0,0,0,0,0,0,0,0,0,0,14,9,22,4,7,0,105,6,74,22,01,01620
"Geneva City School District, Alabama",6334,4479,37184,42659,42568,5181,804,0,0,0,0,89,260,9,0,100,0,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,01640
"Birmingham City School District, Alabama",212297,146827,37375,41276,40400,50508,147777,509,2277,44,188,2795,8199,299,824,288,1055,2816,1865,2407,1562,0,17,15,0,0,23,12,19,0,0,0,0,24,38,65,21,27,24,74,171,146,38,190,187,01,00390
"Blount County School District, Alabama",51113,35083,50198,61787,53663,44843,429,40,174,25,0,764,4838,942,547,845,464,0,51,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,2,11,31,40,0,39,141,71,117,25,01,00420
"Brewton City School District, Alabama",5240,3707,42898,49375,51051,2836,2119,0,87,0,28,74,96,76,22,40,3,9,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,01,00450
"Bullock County School District, Alabama",10248,7101,37785,15708,54261,2191,7666,0,50,0,1,78,262,107,0,0,52,121,302,162,66,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,01,00480
"Butler County School District, Alabama",19828,13819,40688,44867,42761,10232,8928,11,69,0,0,311,277,159,90,158,92,244,120,188,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,47,0,0,0,26,0,01,00510
"Calhoun County School District, Alabama",55479,39849,53215,63089,62366,46292,5687,160,451,0,161,1206,1522,1156,392,889,222,97,49,52,31,27,0,0,31,17,0,16,0,0,0,0,0,2,24,0,6,66,89,16,0,60,24,0,38,01,00540
"Elba City School District, Alabama",4988,3623,43542,45946,41741,3244,1517,8,73,0,0,119,27,57,15,36,19,41,7,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,01260
"Decatur City School District, Alabama",54478,37358,48429,43495,58491,33138,12195,111,214,0,62,1425,7333,701,297,598,205,259,166,270,175,0,0,6,0,0,0,16,0,0,0,0,0,58,46,48,62,32,27,103,0,167,72,175,149,01,01170
"Demopolis City School District, Alabama",6807,4574,27279,25152,55184,3032,3547,11,0,0,0,60,157,95,45,57,22,100,73,73,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,01,01200
"Dothan City School District, Alabama",67894,46917,47081,46411,58115,40220,22700,167,843,41,270,1337,2316,712,301,595,360,529,302,534,297,0,0,8,0,13,3,10,1,0,0,0,0,2,8,2,3,56,18,42,43,31,29,62,31,01,01230
"Maxwell AFB School District, Alabama",2171,1449,91250,91944,116250,1210,520,4,10,13,0,117,297,26,13,11,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,1,01,00003
"Albertville City School District, Alabama",21541,13386,45867,52485,49187,14226,792,7,143,0,98,194,6081,328,158,281,223,31,2,4,0,0,3,0,0,32,0,0,0,0,0,0,0,16,0,0,15,10,0,1,0,170,3,67,121,01,00005
"Marshall County School District, Alabama",48765,33133,47490,50006,56181,40948,385,258,221,47,0,850,6056,770,474,721,331,6,0,8,9,0,1,0,0,31,0,0,0,0,0,0,0,35,3,0,1,4,49,71,13,252,280,257,67,01,00006
"Hoover City School District, Alabama",84179,56897,88831,87828,117511,57138,15951,27,4328,17,64,1493,5161,1249,249,1149,318,552,275,507,160,0,0,0,0,55,50,50,45,12,0,0,0,53,0,54,0,72,35,73,0,83,34,99,28,01,00007
"Madison City School District, Alabama",49327,33371,99188,90508,131778,34777,7246,246,2850,0,323,1539,2346,767,549,996,253,245,74,276,44,0,12,0,0,136,25,68,29,0,0,0,0,10,0,0,0,135,0,32,0,113,62,51,0,01,00008
"Leeds City School District, Alabama",12600,8688,60863,66250,77167,9576,2334,84,8,6,0,117,475,249,50,195,0,86,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,9,18,37,0,0,01,00011
"Clarke County School District, Alabama",18829,12983,36645,47857,40136,9665,8887,18,62,0,0,155,42,204,100,206,83,179,145,224,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,01,00720
"Chambers County School District, Alabama",27389,19351,43685,56429,51172,16775,9566,112,376,0,17,207,336,328,156,248,150,169,50,226,146,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,01,00600
"Cherokee County School District, Alabama",25903,18874,41919,54144,46935,23759,1191,280,64,0,0,196,413,438,239,438,215,13,19,75,0,69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,13,0,01,00630
"Chilton County School District, Alabama",44055,30046,47468,47100,55518,35302,4041,39,195,0,43,978,3457,728,369,701,332,80,100,88,0,67,0,0,0,12,0,0,0,0,0,0,0,170,0,0,13,24,0,62,47,249,5,50,63,01,00660
"Choctaw County School District, Alabama",12925,9329,35892,58250,37185,7287,5500,8,17,0,9,51,53,152,146,133,92,142,14,70,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,01,00690
"Clay County School District, Alabama",13337,9459,40845,42790,54237,10717,2068,0,21,0,18,94,419,220,117,185,161,22,65,19,48,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,01,00750
"Cleburne County School District, Alabama",14666,10268,44670,52956,56705,13576,410,14,3,0,13,283,367,306,153,243,115,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,4,0,0,9,12,15,0,01,00780
"Coffee County School District, Alabama",19182,13438,51801,58542,62857,16097,890,261,132,0,15,587,1200,344,173,391,130,19,11,3,10,0,0,2,7,0,0,0,0,0,0,0,0,10,0,0,3,19,30,7,8,25,35,9,7,01,00810
"Colbert County School District, Alabama",23238,17003,49288,50033,58732,19801,2467,174,76,16,29,249,426,391,247,360,214,13,2,74,17,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,0,29,26,0,20,0,01,00840
"Conecuh County School District, Alabama",12394,8833,37837,34159,39794,6203,5919,25,56,0,2,105,84,89,74,85,92,90,134,166,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,01,00870
"Coosa County School District, Alabama",10757,8259,38990,52868,38208,6970,3615,8,0,0,55,0,109,94,79,119,14,102,83,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,00900
"Covington County School District, Alabama",21973,15844,47076,55568,52973,19933,1282,17,100,34,5,228,374,357,206,317,86,0,6,29,6,0,0,0,0,2,0,0,3,0,0,34,0,0,0,0,0,12,0,0,1,22,2,0,0,01,00930
"Crenshaw County School District, Alabama",13844,9690,43163,50329,52218,9827,3202,92,175,9,0,429,110,209,100,180,88,60,68,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,35,0,0,0,5,0,01,00960
"Cullman City School District, Alabama",14935,10017,48362,59540,57052,13362,125,79,102,0,48,363,856,183,194,239,260,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,10,0,0,0,01,00990
"Cullman County School District, Alabama",67918,47709,44100,52052,55299,62767,909,155,212,0,0,1120,2755,1312,607,1179,468,12,23,31,37,0,0,0,0,0,0,0,3,0,0,0,0,15,5,42,0,53,9,71,14,123,38,81,51,01,01020
"Dale County School District, Alabama",15548,10819,47003,45216,57043,12545,2111,73,36,0,156,344,283,199,102,292,160,92,19,58,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,36,6,0,5,0,0,6,01,01050
"Daleville City School District, Alabama",11042,7783,47680,51905,50903,6842,2113,98,245,4,4,376,1360,87,94,111,47,29,0,45,66,30,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,52,0,0,26,45,10,12,0,01,01080
"Dallas County School District, Alabama",20873,14419,39109,41719,45630,7874,12616,8,21,0,0,156,198,116,59,124,37,291,180,298,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,01,01110
"DeKalb County School District, Alabama",57195,38799,40540,48922,48499,47387,545,740,69,150,20,1156,7128,1025,535,888,441,0,11,16,2,27,0,2,0,0,0,0,0,0,0,10,0,197,42,151,24,72,28,106,35,284,113,246,187,01,01140
"Andalusia City School District, Alabama",8772,6011,37708,34545,45625,6003,2428,5,42,0,0,107,187,107,54,85,139,51,60,87,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,01,00060
"Boaz City School District, Alabama",9277,6295,40551,43090,46875,8026,286,0,5,0,0,94,866,127,79,126,107,14,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,12,0,0,0,57,0,01,00012
"Trussville City School District, Alabama",21830,14659,97483,103896,108613,19288,1301,13,176,0,41,777,234,347,150,427,148,15,0,47,49,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,123,0,0,42,29,0,0,19,01,00013
"Alexander City City School District, Alabama",17483,12121,41641,42214,63679,10767,5621,85,114,0,0,199,697,163,89,292,14,151,94,110,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,10,0,7,42,0,18,0,01,00030
"Anniston City School District, Alabama",21688,15265,36051,40644,38490,8972,11154,31,237,0,19,733,542,93,56,40,42,218,192,319,86,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,34,0,18,18,0,01,00090
"Arab City School District, Alabama",8293,5741,46517,53125,55547,7761,64,65,129,1,0,135,138,142,70,234,57,0,1,0,0,0,0,0,6,0,3,8,5,0,0,0,0,0,0,0,0,4,6,2,0,15,0,6,0,01,00100
"Athens City School District, Alabama",25922,18441,53165,54474,75585,18464,4328,164,408,54,0,566,1938,240,118,376,175,49,61,43,63,0,0,0,0,39,0,86,0,0,0,0,0,0,0,0,23,16,0,27,12,73,20,63,35,01,00120
"Attalla City School District, Alabama",5836,3664,39247,33189,40758,4306,1096,5,0,21,0,168,240,29,82,7,0,66,0,8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,62,0,0,0,24,37,01,00180
"Auburn City School District, Alabama",64054,31641,47318,51266,98039,43934,11626,85,5505,0,34,732,2138,673,2267,715,2458,250,287,190,478,0,0,0,0,72,142,79,107,0,0,0,0,0,0,0,8,0,38,25,78,58,38,37,91,01,00210
"Autauga County School District, Alabama",55380,37367,58731,62408,81538,41315,10524,140,573,5,85,1173,1565,890,474,911,417,242,102,202,117,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,71,100,110,28,26,14,105,11,01,00240
"Baldwin County School District, Alabama",212830,151112,58320,64440,66294,176803,19525,1391,1955,9,344,3092,9711,3268,1739,3139,1595,462,305,476,375,91,72,28,0,125,0,23,81,0,0,0,0,67,0,56,0,136,67,91,106,224,66,235,209,01,00270
"Barbour County School District, Alabama",13296,9837,32243,32713,36168,5945,6508,43,12,1,80,120,587,75,23,39,48,118,51,85,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,7,25,01,00300
"Bessemer City School District, Alabama",26680,18219,32301,29203,40276,5467,19306,10,37,10,270,427,1153,5,52,43,73,456,346,464,278,0,0,0,0,0,0,0,0,0,0,0,0,16,107,35,0,51,0,21,0,0,84,6,28,01,00330
"Bibb County School District, Alabama",22493,16168,47542,51140,53315,16763,4981,30,27,0,0,113,579,349,179,308,145,240,42,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,19,0,0,01,00360
"Pelham City School District, Alabama",23428,16442,80510,80165,93633,17428,2616,103,300,0,20,156,2805,333,227,375,105,61,48,30,85,17,0,0,0,5,0,0,8,0,0,0,0,62,0,41,46,0,0,0,0,117,10,76,80,01,00194
"Muscle Shoals City School District, Alabama",14103,9634,60629,70000,67375,11513,1619,8,134,0,0,237,592,119,99,333,69,74,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,27,0,3,8,0,0,26,0,27,0,01,02520
"Oneonta City School District, Alabama",6568,4708,39669,77721,41750,5278,452,0,38,0,214,82,504,80,8,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,34,01,02550
"Opelika City School District, Alabama",30232,20676,48459,52195,56219,14871,12676,31,847,0,0,627,1180,307,97,222,21,142,163,216,60,0,0,0,0,62,15,0,38,0,0,0,0,24,0,0,0,0,14,48,0,114,0,0,109,01,02580
"Opp City School District, Alabama",6455,4469,36609,49844,38594,5048,1271,0,0,0,0,68,68,101,40,147,44,22,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,01,02610
"Oxford City School District, Alabama",23258,15579,55468,63664,68365,16558,3802,0,412,0,5,275,2206,352,57,421,78,150,58,141,26,0,0,0,0,0,0,0,0,0,0,0,0,138,35,3,32,0,0,25,15,164,35,10,32,01,02635
"Vestavia Hills City School District, Alabama",34307,23606,109485,121125,133804,29869,1714,11,1199,17,128,409,960,792,326,511,157,45,36,26,80,0,0,0,0,19,24,56,31,0,0,0,0,3,0,0,33,28,0,27,0,18,15,17,33,01,03430
"Walker County School District, Alabama",50461,35642,42832,45590,53527,46552,1961,75,95,0,104,713,961,1027,507,836,487,19,10,48,52,8,0,0,0,0,0,0,0,0,0,0,0,39,0,15,0,16,16,0,9,91,0,16,43,01,03450
"Washington County School District, Alabama",16541,11346,41370,52416,50938,10743,3894,1209,42,0,15,397,241,233,117,207,95,138,179,52,37,51,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,20,0,0,0,01,03480
"Wilcox County School District, Alabama",10681,7114,31014,37078,28689,2867,7410,10,3,0,0,334,57,39,38,53,10,212,168,202,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,01,03510
"Winfield City School District, Alabama",6558,4593,44659,58000,67161,6155,233,4,22,0,0,46,98,63,137,248,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,2,2,0,01,03540
"Winston County School District, Alabama",16329,12051,37924,43401,48843,15559,36,81,33,0,0,328,292,273,173,331,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,0,0,0,0,01,03580
"Remainder of Alabama, Alabama",9320,6176,102734,94444,117500,5559,3008,47,344,0,0,144,218,158,56,120,33,120,122,15,0,0,0,22,0,11,0,0,0,0,0,0,0,0,0,0,0,27,0,10,12,0,0,0,0,01,99999
"Fort Rucker School District, Alabama",5311,2406,70024,64479,96389,3487,645,45,106,0,0,278,750,33,81,9,0,0,12,21,16,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,11,21,0,0,35,25,15,0,01,00001
"Saraland City School District, Alabama",14391,9557,60633,73175,74857,11446,1962,265,186,11,19,356,146,218,210,297,116,27,0,46,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,01,00185
"Ozark City School District, Alabama",16219,11651,41025,41890,52201,9983,4793,64,216,0,0,431,732,224,50,154,78,115,87,140,71,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,0,7,65,01,02640
"Pell City City School District, Alabama",28740,20793,52769,60060,60075,25543,2180,34,465,11,22,259,226,344,176,424,154,47,46,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,01,02650
"Perry County School District, Alabama",9293,5883,23447,18497,23870,2727,6441,3,8,0,4,0,110,43,183,59,122,210,316,83,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,01,02670
"Phenix City City School District, Alabama",36516,23578,42089,44398,50206,16232,15949,69,331,23,330,1064,2518,220,143,320,126,300,143,383,112,0,0,0,0,0,0,29,40,0,0,0,0,21,196,6,0,38,34,39,0,4,115,19,0,01,02700
"Pickens County School District, Alabama",20243,14495,39848,52332,47618,10860,8065,28,12,12,8,273,985,196,128,183,86,193,59,180,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,01,02730
"Piedmont City School District, Alabama",5929,4255,38286,47941,52537,4926,595,11,24,0,0,142,231,19,26,97,50,39,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,16,34,0,0,01,02760
"Pike County School District, Alabama",14221,9489,44826,54482,44712,8247,4900,168,44,3,0,387,472,120,22,142,53,136,210,117,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,3,0,7,0,01,02790
"Randolph County School District, Alabama",16721,11534,44176,52757,54936,14069,1895,38,47,0,11,200,461,299,185,260,169,115,34,33,59,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,7,11,0,0,0,0,6,01,02820
"Roanoke City School District, Alabama",5926,4242,42069,40268,50694,2983,2560,0,0,0,0,176,207,60,30,35,32,31,0,16,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,02850
"Russell County School District, Alabama",26236,18431,50086,54098,55915,14165,9818,84,197,0,55,919,998,269,53,148,81,274,194,210,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,26,28,30,0,31,0,01,02880
"Russellville City School District, Alabama",9781,6133,43358,46833,45396,5069,916,0,107,0,0,53,3636,88,28,70,60,39,7,24,0,0,0,34,0,0,0,35,0,0,0,0,0,40,33,0,48,0,0,0,0,70,33,110,48,01,02910
"Scottsboro City School District, Alabama",14526,10432,42651,40037,61985,12842,861,47,142,41,14,216,363,198,171,230,92,0,0,0,0,0,0,0,0,0,0,14,23,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,01,02940
"Selma City School District, Alabama",18276,11781,27030,27183,25538,2820,14956,29,201,5,0,44,221,63,81,42,46,391,223,361,244,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,01,02970
"Sheffield City School District, Alabama",8986,6507,34194,35988,36935,6259,2234,30,10,35,0,210,208,98,44,34,88,49,26,37,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,01,03000
"Shelby County School District, Alabama",129450,87908,74259,80417,92659,103712,15153,316,2132,44,284,2632,5177,2081,1198,2028,1259,281,300,397,274,0,0,0,16,110,0,30,35,4,0,7,0,134,191,110,65,120,47,88,19,156,193,138,101,01,03030
"Talladega City School District, Alabama",15522,10450,27719,23526,40316,6915,7398,45,20,0,13,239,892,145,92,101,157,137,110,101,215,0,0,0,5,0,0,0,8,0,0,0,0,0,6,9,0,0,0,0,34,52,17,9,11,01,03150
"St. Clair County School District, Alabama",56324,38663,62389,74549,61611,47768,5794,225,230,0,0,545,1762,1044,571,946,509,196,0,93,126,6,0,5,78,0,0,19,0,0,0,0,0,15,0,58,0,31,28,12,0,39,0,75,15,01,03062
"Sumter County School District, Alabama",12797,8088,24320,25977,25946,3175,9203,9,274,0,42,26,68,7,255,55,104,283,261,91,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,03090
"Sylacauga City School District, Alabama",12226,8162,36068,58859,45799,7672,4016,131,0,7,8,160,232,226,72,157,35,114,21,69,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,19,0,0,0,0,01,03120
"Talladega County School District, Alabama",48502,34685,43393,43163,54979,32808,14083,166,211,16,57,741,420,478,332,601,258,292,232,404,223,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,85,0,24,15,27,24,0,0,01,03180
"Tallapoosa County School District, Alabama",21247,15386,47797,48452,55056,15575,5117,5,31,0,11,245,263,246,170,180,74,25,196,111,43,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,5,0,0,01,03210
"Tallassee City School District, Alabama",8827,6244,54872,56175,63079,6931,1385,18,0,0,0,70,423,117,66,82,98,45,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,01,03240
"Tarrant City School District, Alabama",6174,4080,30485,29211,45350,2053,3276,16,17,60,0,47,705,0,53,8,0,73,35,23,10,0,0,21,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,21,0,01,03270
"Thomasville City School District, Alabama",5299,3787,39257,-666666666,34657,3055,2157,8,42,0,0,0,37,26,24,54,41,87,0,10,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,03300
"Troy City School District, Alabama",19112,9809,31515,30571,54740,10425,7294,20,690,0,18,387,278,131,351,114,599,117,139,131,401,0,6,0,0,0,19,0,42,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,01,03330
"Tuscaloosa City School District, Alabama",97641,55899,44835,49367,54401,47825,43015,152,2472,78,14,855,3230,535,2715,470,4352,868,885,831,1199,0,0,15,10,0,20,10,142,0,21,0,0,11,0,0,15,0,158,12,85,78,140,21,202,01,03360
"Tuscaloosa County School District, Alabama",109664,73157,60802,68141,70147,79768,23098,180,863,15,58,1210,4472,1468,391,1431,1215,574,360,554,330,33,0,0,0,31,50,27,0,0,0,0,0,13,15,7,49,48,6,79,81,55,15,112,49,01,03390
"Tuscumbia City School District, Alabama",8444,5815,44088,41683,61059,5257,2489,107,39,0,0,221,331,151,49,36,35,92,47,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,03420
"Geneva County School District, Alabama",20083,14181,43136,49638,50250,16970,1683,236,115,12,0,276,791,431,214,302,200,56,24,30,83,0,0,0,13,0,0,0,0,0,6,0,0,35,0,17,9,0,0,7,0,43,0,24,23,01,01660
"Greene County School District, Alabama",8324,5793,24145,26293,26426,1435,6614,37,0,0,0,93,145,0,0,39,0,39,6,233,41,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,01680
"Guntersville City School District, Alabama",8468,6004,45198,50326,51103,6944,1022,19,75,3,0,164,241,124,35,78,44,23,32,4,17,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,2,4,1,4,3,2,1,0,01,01690
"Hale County School District, Alabama",14809,9921,34046,28092,43594,5854,8792,30,33,0,32,64,4,119,82,77,90,193,275,196,75,0,0,8,0,0,0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,01,01710
"Haleyville City School District, Alabama",7726,5316,31818,35625,44123,6997,138,0,4,12,0,117,458,158,57,84,110,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,01,01720
"Hartselle City School District, Alabama",14137,9825,59583,63773,75417,12498,774,0,359,0,0,205,301,320,129,167,120,62,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,21,21,0,0,67,0,0,0,01,01730
"Henry County School District, Alabama",17114,12149,50177,57632,58365,11832,4549,30,68,17,0,169,449,226,174,209,95,111,62,81,43,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,20,0,0,18,45,9,0,01,01740
"Homewood City School District, Alabama",25534,15344,84157,88981,120714,19034,3598,15,892,0,64,526,1405,404,374,450,706,49,78,80,331,0,0,0,0,9,5,29,3,0,0,0,0,11,9,0,24,0,14,20,25,139,25,0,35,01,01760
"Houston County School District, Alabama",37529,25820,47754,52421,52338,29890,5408,95,66,4,26,792,1248,611,381,689,259,192,92,128,38,0,0,1,0,0,0,0,0,0,0,0,0,9,0,11,0,15,13,52,16,64,3,28,19,01,01770
"Huntsville City School District, Alabama",196219,133527,55305,53438,72741,113171,59625,699,5090,187,387,4831,12229,1475,1223,1345,868,958,1428,1073,1734,29,0,39,15,52,83,68,89,0,0,0,0,30,90,37,9,189,156,96,118,247,251,190,178,01,01800
"Jackson County School District, Alabama",37326,26567,41396,47239,47909,33435,914,535,90,14,29,1153,1156,725,325,668,334,37,0,8,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,68,7,28,8,27,9,01,01830
"Jacksonville City School District, Alabama",12651,7069,41268,55180,57768,9059,2969,18,146,14,0,296,149,48,416,105,509,45,170,12,303,0,0,0,0,0,0,0,29,0,0,0,0,0,5,0,0,26,10,11,6,0,11,11,0,01,01860
"Jasper City School District, Alabama",13649,9140,49201,57899,58472,10472,1992,23,218,0,0,310,634,114,96,198,51,63,62,51,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,12,0,0,0,01,01890
"Jefferson County School District, Alabama",230141,158653,58048,62726,68342,138970,76634,401,2555,47,549,3252,7733,2055,1436,2047,1323,1868,932,2393,951,0,0,18,0,11,53,33,0,7,0,0,0,11,28,129,64,87,52,51,26,181,104,199,40,01,01920
"Lamar County School District, Alabama",13885,9837,38364,52573,48657,11940,1479,3,17,0,106,111,229,251,127,221,104,20,39,32,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,01,01950
"Lanett City School District, Alabama",6271,4438,34363,57890,48750,1922,3750,0,0,0,0,135,464,12,25,40,8,98,48,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,0,01,01980
"Lauderdale County School District, Alabama",52247,37376,55678,64819,70797,48822,1435,239,227,0,60,599,865,837,644,1087,468,3,31,41,51,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,2,30,21,0,10,29,4,42,01,02010
"Lawrence County School District, Alabama",33058,23314,44886,58288,50373,25285,3496,1852,65,27,0,1609,724,458,245,432,212,45,124,77,85,42,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,47,55,64,15,0,55,33,0,01,02040
