zip_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,state_fips_code,zip_code
ZCTA5 57449,62212,62212,-666666666,-666666666,-666666666,61442,46,57449
ZCTA5 57450,57969,57969,-666666666,68438,59531,45625,46,57450
ZCTA5 57451,75287,75287,43846,77344,91250,44583,46,57451
ZCTA5 57452,42292,42292,-666666666,65469,36250,41875,46,57452
ZCTA5 57454,60859,60859,52917,65000,68542,33750,46,57454
ZCTA5 57455,59375,59375,-666666666,-666666666,-666666666,59583,46,57455
ZCTA5 57456,57778,57778,-666666666,63750,79583,38250,46,57456
ZCTA5 57457,68750,68750,-666666666,-666666666,55833,-666666666,46,57457
ZCTA5 57460,66518,66518,-666666666,56375,77596,48750,46,57460
ZCTA5 57461,57500,57500,-666666666,57292,67273,28750,46,57461
ZCTA5 57465,60694,60694,-666666666,62188,78958,53250,46,57465
ZCTA5 57466,49125,49125,-666666666,-666666666,44886,-666666666,46,57466
ZCTA5 57467,62222,62222,-666666666,-666666666,71389,38750,46,57467
ZCTA5 57468,48958,48958,-666666666,53594,66094,35625,46,57468
ZCTA5 57469,50494,50494,31118,55147,72679,42941,46,57469
ZCTA5 57470,72813,72813,-666666666,-666666666,-666666666,-666666666,46,57470
ZCTA5 57471,57411,57411,44792,76250,78750,31528,46,57471
ZCTA5 57472,65625,65625,-666666666,53750,70694,27159,46,57472
ZCTA5 57473,58846,58846,-666666666,-666666666,-666666666,57841,46,57473
ZCTA5 57474,80536,80536,-666666666,73750,95313,49063,46,57474
ZCTA5 57475,53750,53750,-666666666,-666666666,54688,52500,46,57475
ZCTA5 57476,76932,76932,-666666666,87500,77361,56875,46,57476
ZCTA5 57477,70000,70000,-666666666,70750,69286,85625,46,57477
ZCTA5 57479,89583,89583,-666666666,81250,103750,76667,46,57479
ZCTA5 57481,62708,62708,-666666666,72083,80139,31705,46,57481
ZCTA5 57501,65100,65100,29722,71056,76236,53333,46,57501
ZCTA5 57520,46875,46875,-666666666,70875,60000,20833,46,57520
ZCTA5 57521,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57521
ZCTA5 57522,61250,61250,-666666666,63194,54219,65313,46,57522
ZCTA5 57523,43000,43000,-666666666,63839,53125,29167,46,57523
ZCTA5 57528,51563,51563,39375,51875,80000,38750,46,57528
ZCTA5 57529,49250,49250,-666666666,-666666666,52000,63000,46,57529
ZCTA5 57531,44250,44250,-666666666,-666666666,59688,31875,46,57531
ZCTA5 57532,71579,71579,31324,82031,77857,71477,46,57532
ZCTA5 57533,42500,42500,31250,42950,73750,31406,46,57533
ZCTA5 57534,80417,80417,-666666666,-666666666,91250,-666666666,46,57534
ZCTA5 57536,66250,66250,-666666666,74583,68125,-666666666,46,57536
ZCTA5 57537,79306,79306,-666666666,-666666666,-666666666,-666666666,46,57537
ZCTA5 57538,42500,42500,-666666666,-666666666,39688,18750,46,57538
ZCTA5 57540,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57540
ZCTA5 57541,77841,77841,-666666666,-666666666,-666666666,-666666666,46,57541
ZCTA5 57543,38625,38625,24306,44333,44653,18750,46,57543
ZCTA5 57544,59375,59375,-666666666,52188,63036,67589,46,57544
ZCTA5 57547,43750,43750,-666666666,-666666666,-666666666,43438,46,57547
ZCTA5 57548,33828,33828,-666666666,34712,27426,56667,46,57548
ZCTA5 57551,49076,49076,33125,51875,51563,35521,46,57551
ZCTA5 57552,44167,44167,-666666666,54250,50208,25150,46,57552
ZCTA5 57553,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57553
ZCTA5 57555,32007,32007,2499,32750,26154,43088,46,57555
ZCTA5 57559,45000,45000,-666666666,51528,39167,41250,46,57559
ZCTA5 57560,20250,20250,-666666666,-666666666,20000,18750,46,57560
ZCTA5 57562,51875,51875,-666666666,-666666666,70417,-666666666,46,57562
ZCTA5 57563,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57563
ZCTA5 57564,63542,63542,43333,75833,66042,42292,46,57564
ZCTA5 57566,25202,25202,-666666666,45093,25161,8672,46,57566
ZCTA5 57567,41343,41343,-666666666,36513,57206,28125,46,57567
ZCTA5 57568,72837,72837,-666666666,74563,103214,53000,46,57568
ZCTA5 57569,48611,48611,-666666666,48571,58958,38875,46,57569
ZCTA5 57570,18350,18350,2499,-666666666,25357,-666666666,46,57570
ZCTA5 57571,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57571
ZCTA5 57572,14514,14514,-666666666,10000,24643,14716,46,57572
ZCTA5 57574,68214,68214,-666666666,-666666666,-666666666,68214,46,57574
ZCTA5 57576,37778,37778,-666666666,-666666666,31071,-666666666,46,57576
ZCTA5 57577,24444,24444,-666666666,16250,39500,-666666666,46,57577
ZCTA5 57579,33750,33750,-666666666,-666666666,42083,22734,46,57579
ZCTA5 57580,57758,57758,-666666666,53125,62350,44375,46,57580
ZCTA5 57584,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57584
ZCTA5 57585,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57585
ZCTA5 57601,51549,51549,39737,78750,55833,38994,46,57601
ZCTA5 57620,60096,60096,-666666666,56591,62361,43750,46,57620
ZCTA5 57621,26964,26964,-666666666,-666666666,28750,-666666666,46,57621
ZCTA5 57622,18281,18281,-666666666,18125,20000,15000,46,57622
ZCTA5 57623,47500,47500,-666666666,46429,57679,31875,46,57623
ZCTA5 57625,39386,39386,33750,32619,47396,47361,46,57625
ZCTA5 57626,65385,65385,-666666666,65625,82031,30938,46,57626
ZCTA5 57630,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57630
ZCTA5 57631,68125,68125,-666666666,72708,75000,59688,46,57631
ZCTA5 57632,62885,62885,-666666666,76250,66563,26250,46,57632
ZCTA5 57633,75417,75417,40625,95625,61250,71250,46,57633
ZCTA5 57634,48194,48194,-666666666,-666666666,49583,-666666666,46,57634
ZCTA5 57636,46625,46625,-666666666,46250,58333,-666666666,46,57636
ZCTA5 57638,51929,51929,28958,57727,81458,41324,46,57638
ZCTA5 57639,14643,14643,-666666666,12679,13571,25000,46,57639
ZCTA5 57640,86458,86458,-666666666,-666666666,-666666666,-666666666,46,57640
ZCTA5 57641,42344,42344,-666666666,53750,79688,31250,46,57641
ZCTA5 57642,33393,33393,-666666666,25179,53000,26406,46,57642
ZCTA5 57644,60938,60938,-666666666,51875,86250,-666666666,46,57644
ZCTA5 57645,41250,41250,-666666666,38750,61563,-666666666,46,57645
ZCTA5 57646,53600,53600,-666666666,54545,54196,18750,46,57646
ZCTA5 57648,48250,48250,-666666666,80625,48500,26042,46,57648
ZCTA5 57649,65625,65625,-666666666,70500,81000,-666666666,46,57649
ZCTA5 57650,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57650
ZCTA5 57651,37833,37833,-666666666,-666666666,-666666666,-666666666,46,57651
ZCTA5 57652,40250,40250,-666666666,40500,36000,49583,46,57652
ZCTA5 57656,53333,53333,47917,66250,76500,36250,46,57656
ZCTA5 57657,84167,84167,-666666666,-666666666,124375,-666666666,46,57657
ZCTA5 57658,22188,22188,-666666666,-666666666,24583,19375,46,57658
ZCTA5 57660,74167,74167,-666666666,-666666666,-666666666,72917,46,57660
ZCTA5 57661,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57661
ZCTA5 57701,45483,45483,26151,49226,51430,36848,46,57701
ZCTA5 57702,73550,73550,40917,74259,92997,58017,46,57702
ZCTA5 57703,62103,62103,-666666666,72719,66548,48793,46,57703
ZCTA5 57706,50496,50496,44583,50833,-666666666,-666666666,46,57706
ZCTA5 57714,35500,35500,-666666666,13906,37344,-666666666,46,57714
ZCTA5 57716,67019,67019,-666666666,56667,64205,95455,46,57716
ZCTA5 57717,46620,46620,44224,62143,56250,33750,46,57717
ZCTA5 57718,73750,73750,100893,77227,76183,42159,46,57718
ZCTA5 57719,54640,54640,18351,59441,59327,40143,46,57719
ZCTA5 57720,62500,62500,-666666666,70893,62000,58750,46,57720
ZCTA5 57722,56250,56250,-666666666,-666666666,59375,53500,46,57722
ZCTA5 57724,58056,58056,-666666666,59444,52000,54688,46,57724
ZCTA5 57725,62625,62625,-666666666,46184,-666666666,-666666666,46,57725
ZCTA5 57730,57656,57656,-666666666,47177,80462,50667,46,57730
ZCTA5 57732,49127,49127,27250,50478,53581,42031,46,57732
ZCTA5 57735,36359,36359,-666666666,51563,39554,27188,46,57735
ZCTA5 57738,43681,43681,-666666666,64219,43681,16528,46,57738
ZCTA5 57741,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57741
ZCTA5 57744,78750,78750,-666666666,79250,93750,50625,46,57744
ZCTA5 57745,67847,67847,36667,68125,76333,33125,46,57745
ZCTA5 57747,51732,51732,-666666666,75551,51838,45227,46,57747
ZCTA5 57748,53750,53750,-666666666,-666666666,-666666666,50750,46,57748
ZCTA5 57750,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57750
ZCTA5 57751,66042,66042,44375,71500,96250,43214,46,57751
ZCTA5 57752,33490,33490,-666666666,38864,32813,16010,46,57752
ZCTA5 57754,51306,51306,-666666666,52143,53534,44191,46,57754
ZCTA5 57755,56250,56250,-666666666,-666666666,-666666666,-666666666,46,57755
ZCTA5 57756,-666666666,-666666666,-666666666,41979,-666666666,-666666666,46,57756
ZCTA5 57758,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57758
ZCTA5 57759,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57759
ZCTA5 57760,62419,62419,-666666666,70273,62330,45714,46,57760
ZCTA5 57761,90217,90217,41364,104620,91771,64583,46,57761
ZCTA5 57762,26603,26603,-666666666,48438,-666666666,-666666666,46,57762
ZCTA5 57763,57031,57031,-666666666,-666666666,70417,43750,46,57763
ZCTA5 57764,26625,26625,-666666666,28611,23158,27583,46,57764
ZCTA5 57766,117031,117031,-666666666,-666666666,-666666666,103594,46,57766
ZCTA5 57767,50250,50250,-666666666,-666666666,-666666666,36375,46,57767
ZCTA5 57769,68348,68348,-666666666,70375,75608,65231,46,57769
ZCTA5 57770,43333,43333,-666666666,30240,43241,51818,46,57770
ZCTA5 57772,19750,19750,-666666666,-666666666,13958,30446,46,57772
ZCTA5 57773,63125,63125,-666666666,-666666666,90750,70625,46,57773
ZCTA5 57775,81328,81328,-666666666,72250,125278,85417,46,57775
ZCTA5 57776,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57776
ZCTA5 57779,82854,82854,-666666666,-666666666,-666666666,46250,46,57779
ZCTA5 57780,86667,86667,-666666666,-666666666,86250,-666666666,46,57780
ZCTA5 57782,-666666666,-666666666,-666666666,-666666666,-666666666,247857,46,57782
ZCTA5 57783,50866,50866,19412,61708,62601,41690,46,57783
ZCTA5 57785,47221,47221,35184,54063,65645,28929,46,57785
ZCTA5 57787,53631,53631,-666666666,-666666666,62692,-666666666,46,57787
ZCTA5 57788,51000,51000,-666666666,43125,126111,51250,46,57788
ZCTA5 57790,70583,70583,-666666666,82222,77917,33438,46,57790
ZCTA5 57791,56250,56250,-666666666,37708,68194,-666666666,46,57791
ZCTA5 57792,77000,77000,-666666666,-666666666,-666666666,-666666666,46,57792
ZCTA5 57793,70577,70577,23750,93571,66016,62351,46,57793
ZCTA5 57794,-666666666,-666666666,-666666666,-666666666,8385,-666666666,46,57794
ZCTA5 57799,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,46,57799
ZCTA5 58001,130000,130000,-666666666,-666666666,-666666666,-666666666,38,58001
ZCTA5 58002,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,38,58002
ZCTA5 58004,84375,84375,-666666666,57404,98000,-666666666,38,58004
ZCTA5 58005,111111,111111,-666666666,111250,138214,70750,38,58005
ZCTA5 58006,78125,78125,-666666666,61250,103750,59375,38,58006
ZCTA5 58007,-666666666,-666666666,-666666666,-666666666,114375,-666666666,38,58007
ZCTA5 58008,101250,101250,-666666666,116250,73750,116875,38,58008
ZCTA5 58009,215556,215556,-666666666,-666666666,-666666666,-666666666,38,58009
ZCTA5 58011,71250,71250,-666666666,98333,75500,52917,38,58011
ZCTA5 58012,82500,82500,120486,92024,102500,48958,38,58012
ZCTA5 58013,56250,56250,-666666666,-666666666,55417,-666666666,38,58013
ZCTA5 58015,82917,82917,-666666666,86563,85000,68125,38,58015
ZCTA5 58016,110147,110147,-666666666,74821,142794,58482,38,58016
ZCTA5 58017,51875,51875,-666666666,62188,58125,34000,38,58017
ZCTA5 58018,106250,106250,-666666666,118750,-666666666,66000,38,58018
ZCTA5 58021,69821,69821,-666666666,81250,76875,-666666666,38,58021
ZCTA5 58027,58393,58393,24554,75417,69531,37083,38,58027
ZCTA5 58029,86250,86250,-666666666,-666666666,86875,85750,38,58029
ZCTA5 58030,59750,59750,-666666666,-666666666,68750,46250,38,58030
ZCTA5 58031,70592,70592,-666666666,70208,83750,48750,38,58031
ZCTA5 58032,60313,60313,73750,92344,61528,35875,38,58032
ZCTA5 58033,84531,84531,-666666666,80625,123100,61364,38,58033
ZCTA5 58035,66250,66250,-666666666,66667,80000,-666666666,38,58035
ZCTA5 58036,74750,74750,-666666666,86563,65250,103929,38,58036
