univ_id,po_num,order_num,order_title,created_by,date_updated,order_cost,num_runs,num_students,date_start,date_end,hs_grad_class,zip_code_file,zip_code,state_name,cbsa_name,intl_region,segment,race_ethnicity,gender,sat_score_min,sat_score_max,sat_score_old_min,sat_score_old_max,psat_score_min,psat_score_max,psat_score_old_min,psat_score_old_max,gpa_high,gpa_low,rank_high,rank_low
148654,,383161,RNL 19 ESS M2 No Apps HA P3,Elizabeth Villarreal,2018-04-21,1.29,1,3,2018-04-21,2018-04-21,2019,UIS M2 Zips No Apps - 50.txt,,,,,,,,1060,1410,980,1350,980,1330,90,127,A+,A-,,
148654,,571402,SS15 Rest of IL Srs (21) 970-1040 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,25.85,1,55,2020-05-11,2020-05-11,2021,Rest of IL.txt,,,,,,,,970,1040,890,960,,,,,A+,B-,,
148654,,571404,SS18 Secondary Srs (21) 1300-1400 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,177.19,1,377,2020-05-11,2020-05-11,2021,Secondary.txt,,,,,,,,1300,1400,1230,1340,,,,,A+,B,,
148654,,571359,SS03 Primary Srs (21) 1150-1290 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,1.41,1,3,2020-05-11,2020-05-11,2021,,622|620|627|626|625,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,571365,SS17 Secondary Srs (21) 1410-1520 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,107.63,1,229,2020-05-11,2020-05-11,2021,Secondary.txt,,,,,,,,1410,1520,1350,1490,,,,,A+,B,,
148654,,571363,SS16 Secondary Srs (21) 1530-1600 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,18.80,1,40,2020-05-11,2020-05-11,2021,Secondary.txt,,,,,,,,1530,1600,1500,1600,,,,,A+,B,,
148654,,571366,SS19 Secondary Srs (21) 1150-1290 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,370.36,1,788,2020-05-11,2020-05-11,2021,Secondary.txt,,,,,,,,1150,1290,1080,1220,,,,,A+,B,,
148654,,571406,SS21 Secondary Srs (21) 970-1040 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,150.40,1,320,2020-05-11,2020-05-11,2021,Secondary.txt,,,,,,,,970,1040,890,960,,,,,A+,B,,
148654,,571397,SS07 Chicagoland Srs (21) 1300-1520 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,88.36,1,188,2020-05-11,2020-05-11,2021,Chicagoland.txt,,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,571398,SS11 Rest of IL Srs (21) 1530-1600 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,6.58,1,14,2020-05-11,2020-05-11,2021,Rest of IL.txt,,,,,,,,1530,1600,1500,1600,,,,,A+,B-,,
148654,,571360,SS04 Primary Srs (21) 1050-1140 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,0.47,1,1,2020-05-11,2020-05-11,2021,,622|620|627|626|625,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,571399,SS12 Rest of IL Srs (21) 1300-1520 E EAM,Tuonebrandy Tuonepalmer,2020-05-11,76.61,1,163,2020-05-11,2020-05-11,2021,Rest of IL.txt,,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,514951,P11 Primary Soph (22) 800-850 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,1.88,1,4,2019-10-17,2019-10-17,2022,,622|620|627|626|625,,,,,,,,,,,800,850,71,76,A+,B-,,
148654,,514973,P18 Chicagoland Soph (22) 1150-1290 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,37.60,1,80,2019-10-17,2019-10-17,2022,,601|600|606|605|604|603|602,,,,,,,,,,,1150,1290,108,122,A+,B-,,
148654,,514887,P04 Primary Jrs (21) 920-1040 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,904.28,1,1924,2019-10-17,2019-10-17,2021,,622|620|627|626|625,,,,,,,,,,,920,1040,84,96,A+,B-,,
148654,,514889,P07 Primary Soph (22) 1150-1290 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,1.41,1,3,2019-10-17,2019-10-17,2022,,622|620|627|626|625,,,,,,,,,,,1150,1290,108,122,A+,B-,,
148654,,514956,P20 Chicagoland Soph (22) 920-1040 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,96.82,1,206,2019-10-17,2019-10-17,2022,,601|600|606|605|604|603|602,,,,,,,,,,,920,1040,84,96,A+,B-,,
148654,,514957,P21 Chicagoland Soph (22) 860-910 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,41.83,1,89,2019-10-17,2019-10-17,2022,,601|600|606|605|604|603|602,,,,,,,,,,,860,910,78,83,A+,B-,,
148654,,514932,P08 Primary Soph (22) 1050-1140 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,2.35,1,5,2019-10-17,2019-10-17,2022,,622|620|627|626|625,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,514936,P14 Chicagoland Jrs (21) 1050-1140 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,2644.22,1,5626,2019-10-17,2019-10-17,2021,,601|600|606|605|604|603|602,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,514938,P15 Chicagoland Jrs (21) 920-1040 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,4225.77,1,8991,2019-10-17,2019-10-17,2021,,601|600|606|605|604|603|602,,,,,,,,,,,920,1040,84,96,A+,B-,,
148654,,514955,P19 Chicagoland Soph (22) 1050-1140 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,53.11,1,113,2019-10-17,2019-10-17,2022,,601|600|606|605|604|603|602,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,514934,P10 Primary Soph (22) 860-910 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,0.94,1,2,2019-10-17,2019-10-17,2022,,622|620|627|626|625,,,,,,,,,,,860,910,78,83,A+,B-,,
148654,,514940,P22 Chicagoland Soph (22) 800-850 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,27.73,1,59,2019-10-17,2019-10-17,2022,,601|600|606|605|604|603|602,,,,,,,,,,,800,850,71,76,A+,B-,,
148654,,515013,P50 Rest of IL Jrs (21) 800-850 SEPT,Tuonebrandy Tuonepalmer,2019-10-17,958.80,1,2040,2019-10-17,2019-10-17,2021,,623|610|612|611|614|609|613|608|616,,,,,,,,,,,800,850,71,76,A+,B-,,
148654,,526593,SS07 Chicagoland Srs (20) 1300-1520 D2,Tuonebrandy Tuonepalmer,2020-03-24,28.20,1,60,2020-03-24,2020-03-24,2020,Chicagoland.txt,,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,526594,SS11 Rest of IL Srs (20) 1530-1600 D2,Tuonebrandy Tuonepalmer,2020-03-24,0.47,1,1,2020-03-24,2020-03-24,2020,Rest of IL.txt,,,,,,,,1530,1600,1500,1600,,,,,A+,B-,,
148654,,526587,SS13 Rest of IL Srs (20) 1150-1290 D2,Tuonebrandy Tuonepalmer,2020-03-24,17.39,1,37,2020-03-24,2020-03-24,2020,Rest of IL.txt,,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,526596,SS15 Rest of IL Srs (20) 970-1040 D2,Tuonebrandy Tuonepalmer,2020-03-24,49.35,1,105,2020-03-24,2020-03-24,2020,Rest of IL.txt,,,,,,,,970,1040,890,960,,,,,A+,B-,,
148654,,526581,SS02 Primary Srs (20) 1300-1520 D2,Tuonebrandy Tuonepalmer,2020-03-24,2.82,1,6,2020-03-24,2020-03-24,2020,,622|620|627|626|625,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,440668,SS11 Rest of IL Srs 1050-1140 (19) D1,Kathryn Kleeman,2018-12-12,978.30,1,2174,2018-12-12,2018-12-12,2019,,623|610|612|611|614|609|613|608|616,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,440679,SS03 Primary Srs 1050-1140 (19) D1,Kathryn Kleeman,2018-12-12,340.20,1,756,2018-12-12,2018-12-12,2019,,622|620|627|626|625,,,,,,,1050,1140,970,1070,,,,,A+,B-,,
148654,,440653,SS06 Chicagoland Srs 1150-1290 (19) D1,Kathryn Kleeman,2018-12-12,1664.10,1,3698,2018-12-12,2018-12-12,2019,,601|600|606|605|604|603|602,,,,,,,1150,1290,1080,1220,,,,,A+,B-,,
148654,,440655,SS09 Rest of IL Srs 1300-1520 (19) D1,Kathryn Kleeman,2018-12-12,378.00,1,840,2018-12-12,2018-12-12,2019,,623|610|612|611|614|609|613|608|616,,,,,,,1300,1520,1230,1490,,,,,A+,B-,,
148654,,440680,SS13 Sec Srs 1300-1400 (19) E D1,Kathryn Kleeman,2018-12-12,474.75,1,1055,2018-12-12,2018-12-12,2019,,637|636|651|633|634|631|476|475|478,,,,,,,1300,1400,1230,1340,,,,,A+,B,,
148654,,444352,P08 Primary Soph 1050-1140 (21) JAN,Kathryn Kleeman,2019-01-09,54.90,1,122,2019-01-09,2019-01-09,2021,,622|620|627|626|625,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,444356,P18 Chicagoland Soph 1150-1290 (21) JAN,Kathryn Kleeman,2019-01-09,1623.60,1,3608,2019-01-09,2019-01-09,2021,,601|600|606|605|604|603|602,,,,,,,,,,,1150,1290,108,122,A+,B-,,
148654,,444336,P05 Primary Jrs 860-910 (20) JAN,Kathryn Kleeman,2019-01-09,339.75,1,755,2019-01-09,2019-01-09,2020,,622|620|627|626|625,,,,,,,,,,,860,910,78,83,A+,B-,,
148654,,444349,P02 Primary Jrs 1150-1290 (20) JAN,Kathryn Kleeman,2019-01-09,474.30,1,1054,2019-01-09,2019-01-09,2020,,622|620|627|626|625,,,,,,,,,,,1150,1290,108,122,A+,B-,,
148654,,444383,P07 Primary Soph 1150-1290 (21) JAN,Kathryn Kleeman,2019-01-09,41.40,1,92,2019-01-09,2019-01-09,2021,,622|620|627|626|625,,,,,,,,,,,1150,1290,108,122,A+,B-,,
148654,,444353,P09 Primary Soph 920-1040 (21) JAN,Kathryn Kleeman,2019-01-09,87.75,1,195,2019-01-09,2019-01-09,2021,,622|620|627|626|625,,,,,,,,,,,920,1040,84,96,A+,B-,,
148654,,444354,P10 Primary Soph 860-910 (21) JAN,Kathryn Kleeman,2019-01-09,36.90,1,82,2019-01-09,2019-01-09,2021,,622|620|627|626|625,,,,,,,,,,,860,910,78,83,A+,B-,,
148654,,444384,P19 Chicagoland Soph 1050-1140 (21) JAN,Kathryn Kleeman,2019-01-09,1785.15,1,3967,2019-01-09,2019-01-09,2021,,601|600|606|605|604|603|602,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,444417,P21 Chicagoland Soph 860-910 (21) JAN,Kathryn Kleeman,2019-01-09,1384.20,1,3076,2019-01-09,2019-01-09,2021,,601|600|606|605|604|603|602,,,,,,,,,,,860,910,78,83,A+,B-,,
148654,,444355,P17 Chicagoland Soph 1300-1520 (21) JAN,Kathryn Kleeman,2019-01-09,566.10,1,1258,2019-01-09,2019-01-09,2021,,601|600|606|605|604|603|602,,,,,,,,,,,1300,1520,123,149,A+,B-,,
148654,,444335,P03 Primary Jrs 1050-1140 (20) JAN,Kathryn Kleeman,2019-01-09,551.70,1,1226,2019-01-09,2019-01-09,2020,,622|620|627|626|625,,,,,,,,,,,1050,1140,97,107,A+,B-,,
148654,,444397,P12 Chicagoland Jrs 1300-1520 (20) JAN,Kathryn Kleeman,2019-01-09,1790.10,1,3978,2019-01-09,2019-01-09,2020,,601|600|606|605|604|603|602,,,,,,,,,,,1300,1520,123,149,A+,B-,,
148654,,444418,P22 Chicagoland Soph 800-850 (21) JAN,Kathryn Kleeman,2019-01-09,1248.30,1,2774,2019-01-09,2019-01-09,2021,,601|600|606|605|604|603|602,,,,,,,,,,,800,850,71,76,A+,B-,,
