cbsa_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,cbsa_code
"Amsterdam, NY Micro Area",49462,49462,35625,50325,68411,34570,11220
"Anchorage, AK Metro Area",83048,83048,45464,85228,99238,65341,11260
"Andrews, TX Micro Area",76158,76158,45380,85655,84583,46793,11380
"Angola, IN Micro Area",58279,58279,49276,63451,71779,43410,11420
"Ann Arbor, MI Metro Area",72586,72586,30724,78111,97563,60386,11460
"Anniston-Oxford, AL Metro Area",47255,47255,25000,54869,56199,36951,11500
"Appleton, WI Metro Area",67616,67616,42105,76080,85193,38980,11540
"Arcadia, FL Micro Area",35438,35438,22434,31561,39126,37310,11580
"Ardmore, OK Micro Area",51195,51195,42604,57103,59646,36739,11620
"Arecibo, PR Metro Area",17954,17954,10365,18358,21115,16089,11640
"Arkadelphia, AR Micro Area",41620,41620,21431,46418,60753,34617,11660
"Asheville, NC Metro Area",52735,52735,32830,56791,61182,44437,11700
"Ashland, OH Micro Area",52823,52823,38824,54454,62903,38920,11740
"Ashtabula, OH Micro Area",46700,46700,23710,52343,54930,34723,11780
"Astoria, OR Micro Area",54886,54886,31222,61349,64397,47153,11820
"Atchison, KS Micro Area",50439,50439,37727,58724,58675,33789,11860
"Athens, OH Micro Area",40905,40905,17682,51825,49773,37509,11900
"Athens, TN Micro Area",43285,43285,30417,50609,49673,33681,11940
"Athens, TX Micro Area",47355,47355,41569,52584,58578,37895,11980
"Baton Rouge, LA Metro Area",58912,58912,26419,68722,70625,42202,12940
"Battle Creek, MI Metro Area",48607,48607,29743,51661,59528,39746,12980
"Athens-Clarke County, GA Metro Area",47214,47214,16292,50293,62847,44262,12020
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",68316,68316,37485,69596,81471,50149,12060
"Atlantic City-Hammonton, NJ Metro Area",62110,62110,34025,64759,76339,47855,12100
"Atmore, AL Micro Area",36275,36275,25929,38208,41734,30576,12120
"Auburn, IN Micro Area",56421,56421,38977,62481,69084,37988,12140
"Auburn, NY Micro Area",58377,58377,38896,63382,72447,42019,12180
"Auburn-Opelika, AL Metro Area",51463,51463,12471,54283,70847,46327,12220
"Augusta-Richmond County, GA-SC Metro Area",53269,53269,26709,54418,64083,42590,12260
"Augusta-Waterville, ME Micro Area",55365,55365,37511,61874,66585,39187,12300
"Austin, MN Micro Area",54295,54295,30779,63996,67445,38365,12380
"Austin-Round Rock-Georgetown, TX Metro Area",76844,76844,30883,80391,90826,59848,12420
"Bainbridge, GA Micro Area",41481,41481,38691,44159,46794,31298,12460
"Bakersfield, CA Metro Area",53350,53350,31131,55985,62871,40088,12540
"Baltimore-Columbia-Towson, MD Metro Area",81598,81598,43382,87851,98999,54578,12580
"Bangor, ME Metro Area",50808,50808,25390,61086,59731,35560,12620
"Baraboo, WI Micro Area",59943,59943,29957,71036,69223,43152,12660
"Bardstown, KY Micro Area",60127,60127,53425,70832,65485,41123,12680
"Barnstable Town, MA Metro Area",74336,74336,50893,78666,89457,63109,12700
"Barre, VT Micro Area",62791,62791,38641,67946,73708,49284,12740
"Bartlesville, OK Micro Area",54997,54997,36493,61697,64960,41655,12780
"Batavia, NY Micro Area",60524,60524,37292,63829,75924,43081,12860
"Batesville, AR Micro Area",40436,40436,30451,48351,43948,32648,12900
"Bay City, MI Metro Area",48819,48819,26914,55944,57367,39445,13020
"Bay City, TX Micro Area",48913,48913,31607,60132,54217,35903,13060
"Beatrice, NE Micro Area",53110,53110,34167,59800,63861,40000,13100
"Beaumont-Port Arthur, TX Metro Area",54016,54016,34822,60722,64586,40492,13140
"Beaver Dam, WI Micro Area",60652,60652,41161,68771,76233,38358,13180
"Beckley, WV Metro Area",42817,42817,26861,51633,47902,35827,13220
"Bedford, IN Micro Area",53610,53610,31313,59471,60987,43361,13260
"Beeville, TX Micro Area",44578,44578,-666666666,47723,48548,38487,13300
"Bellefontaine, OH Micro Area",56754,56754,50388,67736,67387,41140,13340
"Bellingham, WA Metro Area",62984,62984,30371,69838,79514,51512,13380
"Bemidji, MN Micro Area",49160,49160,25291,53580,61392,43383,13420
"Bend, OR Metro Area",67043,67043,41524,72838,76341,52805,13460
"Bennettsville, SC Micro Area",33586,33586,-666666666,37017,42779,23724,13500
"Bennington, VT Micro Area",56183,56183,40787,59674,67330,45221,13540
"Berlin, NH Micro Area",47117,47117,33265,57730,58093,34383,13620
"Big Rapids, MI Micro Area",45018,45018,16290,51875,56720,38181,13660
"Big Spring, TX Micro Area",54208,54208,28042,64968,64590,37996,13700
"Oshkosh-Neenah, WI Metro Area",58543,58543,31863,67108,74298,39933,36780
"Oskaloosa, IA Micro Area",54825,54825,45540,63460,61412,37848,36820
"Othello, WA Micro Area",48294,48294,38958,44098,62143,45592,36830
"Ottawa, IL Micro Area",58160,58160,32376,62641,71462,41415,36837
"Ottawa, KS Micro Area",56582,56582,29375,59182,67619,41647,36840
"Ottumwa, IA Micro Area",46246,46246,34450,54444,55292,34746,36900
"Owatonna, MN Micro Area",64903,64903,44625,77939,81120,45805,36940
"Owensboro, KY Metro Area",52046,52046,30589,60948,63614,37095,36980
"Oak Harbor, WA Micro Area",68604,68604,41416,69234,90628,58393,36020
"Ocala, FL Metro Area",45371,45371,31436,48171,50705,41530,36100
"Ocean City, NJ Metro Area",67074,67074,28984,72857,80386,54213,36140
"Odessa, TX Metro Area",62973,62973,48602,72780,69459,41071,36220
"Ogden-Clearfield, UT Metro Area",75062,75062,44016,75819,93009,56674,36260
"Ogdensburg-Massena, NY Micro Area",50940,50940,21627,58813,58705,38136,36300
"Oil City, PA Micro Area",49945,49945,38071,52010,58301,38273,36340
"Okeechobee, FL Micro Area",41760,41760,34284,43462,51675,36042,36380
"Oklahoma City, OK Metro Area",59084,59084,31582,62579,69055,48142,36420
"Olean, NY Micro Area",48703,48703,22138,52539,59112,37703,36460
"Olympia-Lacey-Tumwater, WA Metro Area",72003,72003,43926,73914,87510,57541,36500
"Omaha-Council Bluffs, NE-IA Metro Area",67885,67885,37292,74097,82776,47361,36540
"Oxford, MS Micro Area",50272,50272,9346,55471,68498,49465,37060
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",88131,88131,47012,89007,105025,65488,37100
"Ozark, AL Micro Area",47214,47214,40089,47946,54621,38680,37120
"Paducah, KY-IL Micro Area",46584,46584,25615,56909,57520,35628,37140
"Pahrump, NV Micro Area",47300,47300,27122,56196,54822,40451,37220
"Palatka, FL Micro Area",37670,37670,20053,40255,41568,34449,37260
"Palestine, TX Micro Area",43455,43455,38088,47265,47500,32591,37300
"Palm Bay-Melbourne-Titusville, FL Metro Area",56775,56775,31384,62884,67752,45726,37340
"Pampa, TX Micro Area",49327,49327,32263,54944,57889,41033,37420
"Panama City, FL Metro Area",54316,54316,32679,59916,62282,45418,37460
"Paragould, AR Micro Area",47056,47056,35192,55571,53439,36183,37500
"Paris, TN Micro Area",40502,40502,21289,43280,47115,34633,37540
"Paris, TX Micro Area",45117,45117,24375,56867,51929,31653,37580
"Parkersburg-Vienna, WV Metro Area",47218,47218,32004,51446,54597,38466,37620
"Parsons, KS Micro Area",47643,47643,37569,49280,56442,33579,37660
"Payson, AZ Micro Area",43524,43524,42125,51712,50068,37373,37740
"Pearsall, TX Micro Area",46729,46729,38636,48000,56354,32153,37770
"Pecos, TX Micro Area",53581,53581,-666666666,75453,63438,27625,37780
"Pella, IA Micro Area",61038,61038,34018,73079,73300,44188,37800
"Pensacola-Ferry Pass-Brent, FL Metro Area",56007,56007,32106,59330,65413,47337,37860
"Peoria, IL Metro Area",59397,59397,32095,65807,68655,47566,37900
"Peru, IN Micro Area",50657,50657,21707,51812,62160,42675,37940
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",72343,72343,32241,79300,89554,50197,37980
"Phoenix-Mesa-Chandler, AZ Metro Area",63883,63883,36529,67801,77304,50026,38060
"Picayune, MS Micro Area",46901,46901,18424,65727,50430,35792,38100
"Pierre, SD Micro Area",65712,65712,30225,72034,76239,58161,38180
"Pine Bluff, AR Metro Area",41798,41798,25189,43353,50219,35466,38220
"Pinehurst-Southern Pines, NC Micro Area",59963,59963,35144,69375,64552,48500,38240
"Pittsburg, KS Micro Area",41004,41004,17811,53304,50711,35701,38260
"Pittsburgh, PA Metro Area",60535,60535,27813,73594,75057,40737,38300
"Pittsfield, MA Metro Area",59230,59230,29767,65198,72374,45914,38340
"Plainview, TX Micro Area",48384,48384,37835,52647,55439,34792,38380
"Platteville, WI Micro Area",54800,54800,32801,66638,68330,37491,38420
"Plattsburgh, NY Micro Area",56365,56365,34750,59836,65992,44267,38460
"Plymouth, IN Micro Area",52658,52658,28994,60987,63100,38044,38500
"Pocatello, ID Metro Area",51429,51429,24789,55365,61063,44986,38540
"Point Pleasant, WV-OH Micro Area",45351,45351,39130,52165,52892,35559,38580
"Ponca City, OK Micro Area",46809,46809,25479,54221,55631,38234,38620
"Ponce, PR Metro Area",17683,17683,6094,16790,20303,16966,38660
"Pontiac, IL Micro Area",55160,55160,24700,58071,69472,42385,38700
"Poplar Bluff, MO Micro Area",38726,38726,20189,43328,43819,31470,38740
"Portales, NM Micro Area",42702,42702,20030,46932,51875,38565,38780
"Port Angeles, WA Micro Area",52192,52192,39777,56832,61264,46577,38820
"Portland-South Portland, ME Metro Area",70266,70266,43281,78425,84065,48823,38860
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",74792,74792,43915,82271,88469,52676,38900
"Port Lavaca, TX Micro Area",58776,58776,44276,68036,66786,34205,38920
"Port St. Lucie, FL Metro Area",55153,55153,35223,60119,62736,46649,38940
"Portsmouth, OH Micro Area",41330,41330,23625,50105,46250,33542,39020
"Pottsville, PA Micro Area",52280,52280,28438,63435,63967,34070,39060
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",80534,80534,30902,82000,101443,55552,39100
"Prescott Valley-Prescott, AZ Metro Area",52451,52451,35743,57332,59485,46485,39150
"Price, UT Micro Area",51158,51158,53077,60666,55000,43696,39220
"Prineville, OR Micro Area",49006,49006,33347,65458,46964,46455,39260
"Providence-Warwick, RI-MA Metro Area",67818,67818,32521,73222,85118,43385,39300
"Provo-Orem, UT Metro Area",74387,74387,35393,76672,100258,58722,39340
"Pueblo, CO Metro Area",46783,46783,26793,52304,58549,37701,39380
"Pullman, WA Micro Area",42745,42745,15226,49780,76523,40237,39420
"Punta Gorda, FL Metro Area",51499,51499,39408,53499,59158,47095,39460
"Quincy, IL-MO Micro Area",52132,52132,35200,59383,66950,37491,39500
"Racine, WI Metro Area",61336,61336,31749,63498,81419,44329,39540
"Raleigh-Cary, NC Metro Area",75851,75851,41106,80097,89407,52446,39580
"Rapid City, SD Metro Area",57615,57615,33766,62071,70095,44958,39660
"Raymondville, TX Micro Area",35521,35521,18093,43416,40729,25091,39700
"Reading, PA Metro Area",63728,63728,33741,70950,81226,42509,39740
"Red Bluff, CA Micro Area",44514,44514,26348,47132,53344,37917,39780
"Redding, CA Metro Area",54667,54667,38095,62047,64075,44278,39820
"Red Wing, MN Micro Area",66800,66800,50313,82050,84466,45553,39860
"Reno, NV Metro Area",64801,64801,38287,69466,76779,52139,39900
"Rexburg, ID Micro Area",43630,43630,19314,48235,79219,43573,39940
"Richmond, IN Micro Area",46516,46516,34715,49743,55361,35005,39980
"Rockford, IL Metro Area",56027,56027,36244,58175,69970,43658,40420
"Rockingham, NC Micro Area",36148,36148,13776,38896,44246,29746,40460
"Rockport, TX Micro Area",45137,45137,-666666666,45988,48264,42721,40530
"Rock Springs, WY Micro Area",74843,74843,31907,83495,85647,42014,40540
"Rocky Mount, NC Metro Area",44559,44559,27101,45067,53001,35246,40580
"Rolla, MO Micro Area",44154,44154,19006,51136,56512,36927,40620
"Rome, GA Metro Area",48336,48336,25826,49647,58867,38803,40660
"Roseburg, OR Micro Area",47267,47267,47548,51445,58803,37214,40700
"Roswell, NM Micro Area",43359,43359,38750,51322,45168,32515,40740
"Ruidoso, NM Micro Area",46216,46216,-666666666,51250,52356,41775,40760
"Russellville, AR Micro Area",43633,43633,25221,47238,51335,35785,40780
"Ruston, LA Micro Area",35467,35467,16770,39101,56648,36654,40820
"Rutland, VT Micro Area",56139,56139,30426,63614,67500,40214,40860
"Sacramento-Roseville-Folsom, CA Metro Area",72280,72280,32876,74134,88704,56169,40900
"Safford, AZ Micro Area",51353,51353,23299,58253,57403,43214,40940
"Saginaw, MI Metro Area",48000,48000,26312,50641,55158,41970,40980
"Richmond, VA Metro Area",68529,68529,30881,71993,83760,51043,40060
"Richmond-Berea, KY Micro Area",47106,47106,22211,56374,56380,35888,40080
"Rio Grande City-Roma, TX Micro Area",30387,30387,11997,35904,33617,20737,40100
"Riverside-San Bernardino-Ontario, CA Metro Area",65121,65121,35110,67866,77777,47127,40140
"Riverton, WY Micro Area",55896,55896,40813,62747,65052,46172,40180
"Roanoke, VA Metro Area",56596,56596,34142,61765,68704,44761,40220
"Roanoke Rapids, NC Micro Area",36128,36128,16865,36624,43895,29821,40260
"Rochelle, IL Micro Area",60986,60986,53464,64286,73463,44767,40300
"Rochester, MN Metro Area",73697,73697,40491,81981,92055,49253,40340
"Rochester, NY Metro Area",60102,60102,30831,63733,74827,44912,40380
"St. Cloud, MN Metro Area",61985,61985,38863,70768,77806,42305,41060
"St. George, UT Metro Area",59839,59839,44948,65758,72691,49230,41100
"St. Joseph, MO-KS Metro Area",52810,52810,29842,60115,64248,37254,41140
"St. Louis, MO-IL Metro Area",63705,63705,31231,71061,77077,46601,41180
"St. Marys, GA Micro Area",56951,56951,41452,57799,77088,44250,41220
"St. Marys, PA Micro Area",53440,53440,25440,64188,70781,36307,41260
"Salem, OH Micro Area",48345,48345,28896,56789,59615,36656,41400
"Salem, OR Metro Area",60178,60178,33733,64517,70695,48288,41420
"Salina, KS Micro Area",52383,52383,32917,60262,66037,39504,41460
"Salinas, CA Metro Area",71015,71015,40798,65791,86629,61216,41500
"Salisbury, MD-DE Metro Area",60446,60446,31824,61426,73362,52228,41540
"Salt Lake City, UT Metro Area",74842,74842,43555,78102,90543,54584,41620
"San Angelo, TX Metro Area",53883,53883,34022,62870,63357,42659,41660
"San Antonio-New Braunfels, TX Metro Area",60327,60327,32397,62004,70909,48721,41700
"San Diego-Chula Vista-Carlsbad, CA Metro Area",78980,78980,41857,82403,94639,58943,41740
"Sandpoint, ID Micro Area",50256,50256,28750,57500,56379,43452,41760
"Sandusky, OH Micro Area",54226,54226,28194,57920,70687,43543,41780
"Sanford, NC Micro Area",49994,49994,34191,50640,59838,42962,41820
"San Francisco-Oakland-Berkeley, CA Metro Area",106025,106025,54648,126188,119721,66371,41860
"San Germán, PR Metro Area",16151,16151,6147,21256,16326,14861,41900
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",122478,122478,57942,140557,141394,69252,41940
"San Juan-Bayamón-Caguas, PR Metro Area",23156,23156,7613,26215,27439,18806,41980
"Sayre, PA Micro Area",52358,52358,39898,61927,65791,36176,42380
"Scottsbluff, NE Micro Area",49766,49766,31711,58068,58355,38907,42420
"Scottsboro, AL Micro Area",41769,41769,29839,42268,51879,35063,42460
"Scottsburg, IN Micro Area",48700,48700,38431,56033,57637,34633,42500
"Scranton--Wilkes-Barre, PA Metro Area",53491,53491,26661,60376,66328,37765,42540
"Searcy, AR Micro Area",44029,44029,30197,52893,53087,33367,42620
"Seattle-Tacoma-Bellevue, WA Metro Area",86856,86856,47663,96030,102987,56307,42660
"Sebastian-Vero Beach, FL Metro Area",54740,54740,38396,55675,60665,51364,42680
"Sebring-Avon Park, FL Metro Area",40942,40942,29792,48220,40554,39426,42700
"Sedalia, MO Micro Area",46157,46157,31611,51455,49751,39328,42740
"Selinsgrove, PA Micro Area",58997,58997,37050,68171,71804,39045,42780
"Selma, AL Micro Area",33845,33845,24593,31445,38851,32851,42820
"Seneca, SC Micro Area",49134,49134,31542,49443,56327,44974,42860
"Seneca Falls, NY Micro Area",54545,54545,31591,62192,66782,43736,42900
"Sevierville, TN Micro Area",49610,49610,35091,49202,54683,45167,42940
"Seymour, IN Micro Area",51250,51250,46916,56938,64287,34289,42980
"San Luis Obispo-Paso Robles, CA Metro Area",73518,73518,25173,79455,92861,62880,42020
"Santa Cruz-Watsonville, CA Metro Area",82234,82234,21512,82247,104143,63594,42100
"Santa Fe, NM Metro Area",61200,61200,28899,55677,64715,62000,42140
"Santa Isabel, PR Micro Area",19827,19827,-666666666,20596,26392,14506,42180
"Santa Maria-Santa Barbara, CA Metro Area",74624,74624,38081,74560,92707,62972,42200
"Santa Rosa-Petaluma, CA Metro Area",81018,81018,41397,85418,96485,63155,42220
"Sault Ste. Marie, MI Micro Area",46486,46486,21892,56803,53239,37207,42300
"Savannah, GA Metro Area",59459,59459,31100,63539,71652,46225,42340
"Shawano, WI Micro Area",55152,55152,51685,65270,67982,37362,43020
"Shawnee, OK Micro Area",49250,49250,32712,60382,52835,38586,43060
"Sheboygan, WI Metro Area",60696,60696,37656,68789,75391,40941,43100
"Shelby, NC Micro Area",42247,42247,37413,44749,49867,34075,43140
"Shelbyville, TN Micro Area",50415,50415,30743,53150,55978,43893,43180
"Shelton, WA Micro Area",57634,57634,50222,62328,63553,54713,43220
"Sheridan, WY Micro Area",60807,60807,31913,75612,64111,45284,43260
"Sherman-Denison, TX Metro Area",54815,54815,37604,60610,63427,43123,43300
"Show Low, AZ Micro Area",40067,40067,22224,39054,42618,40441,43320
"Shreveport-Bossier City, LA Metro Area",46407,46407,28501,47997,53817,40287,43340
"Sidney, OH Micro Area",63806,63806,40857,68782,81125,42693,43380
"Sierra Vista-Douglas, AZ Metro Area",49260,49260,33202,53076,57494,42946,43420
"Sikeston, MO Micro Area",44139,44139,20732,51002,52717,36624,43460
"Silver City, NM Micro Area",37843,37843,20216,39167,41962,37248,43500
"Sioux City, IA-NE-SD Metro Area",59937,59937,40753,64574,77018,41512,43580
"Sioux Falls, SD Metro Area",65621,65621,40848,72868,78478,44081,43620
"Snyder, TX Micro Area",54326,54326,40278,53422,72759,40492,43660
"Somerset, KY Micro Area",39998,39998,23482,49775,46812,31544,43700
"Somerset, PA Micro Area",49089,49089,31432,61380,61275,34149,43740
"Sonora, CA Micro Area",60108,60108,44628,81151,65851,51689,43760
"South Bend-Mishawaka, IN-MI Metro Area",53323,53323,31143,58104,65644,39015,43780
"Spartanburg, SC Metro Area",52332,52332,32748,55655,62020,38677,43900
"Spearfish, SD Micro Area",52641,52641,19968,59000,61491,44033,43940
"Spencer, IA Micro Area",50521,50521,35341,71744,61883,32096,43980
"Spirit Lake, IA Micro Area",59969,59969,37788,64513,67819,50570,44020
"Spokane-Spokane Valley, WA Metro Area",56410,56410,32815,60918,70586,43461,44060
"Springfield, IL Metro Area",62533,62533,30067,61506,78921,52387,44100
"Springfield, MA Metro Area",59419,59419,30615,62034,75410,43115,44140
"Springfield, MO Metro Area",48549,48549,26332,55344,59401,37782,44180
"Springfield, OH Metro Area",50873,50873,34807,55096,61600,41721,44220
"Starkville, MS Micro Area",41109,41109,9572,43443,57116,46988,44260
"State College, PA Metro Area",60403,60403,14334,68740,85037,48264,44300
"Statesboro, GA Micro Area",45550,45550,21479,50806,54495,43279,44340
"Staunton, VA Metro Area",57140,57140,36563,63879,70342,41288,44420
"Steamboat Springs, CO Micro Area",77443,77443,52596,77563,89048,63841,44460
"Stephenville, TX Micro Area",52742,52742,19438,62128,70156,43072,44500
"Sterling, CO Micro Area",53318,53318,27757,58033,65610,37527,44540
"Sterling, IL Micro Area",54232,54232,36902,56311,70022,42222,44580
"Stevens Point, WI Micro Area",58853,58853,29194,69902,77726,45015,44620
"Stillwater, OK Micro Area",41603,41603,13879,51473,58101,43011,44660
"Stockton, CA Metro Area",64432,64432,39831,64971,77526,48193,44700
"Storm Lake, IA Micro Area",57125,57125,38481,53851,80469,48770,44740
"Sturgis, MI Micro Area",52086,52086,38659,56378,61537,40678,44780
"Sulphur Springs, TX Micro Area",52078,52078,47750,57548,62902,38845,44860
"Summerville, GA Micro Area",36807,36807,45327,48046,37484,28858,44900
"Sumter, SC Metro Area",44486,44486,29809,48113,49698,36299,44940
"Sunbury, PA Micro Area",48671,48671,30185,57273,62720,32060,44980
"Susanville, CA Micro Area",56352,56352,53333,56463,66263,42896,45000
"Sweetwater, TX Micro Area",45537,45537,47727,48942,51875,35455,45020
"Syracuse, NY Metro Area",60337,60337,29235,65434,75153,44094,45060
"Tahlequah, OK Micro Area",42774,42774,22156,48471,48517,39113,45140
"Talladega-Sylacauga, AL Micro Area",41325,41325,22411,43052,52881,32138,45180
"Tallahassee, FL Metro Area",51874,51874,22225,53508,66846,51955,45220
"Tampa-St. Petersburg-Clearwater, FL Metro Area",55285,55285,35674,62355,66259,41372,45300
"Taos, NM Micro Area",38329,38329,38393,43333,38486,37423,45340
"Taylorville, IL Micro Area",52834,52834,46065,60119,60409,37568,45380
"Terre Haute, IN Metro Area",48591,48591,22816,55515,59579,38911,45460
"Texarkana, TX-AR Metro Area",47377,47377,32071,48582,57603,40069,45500
"The Dalles, OR Micro Area",53105,53105,42417,64969,57905,42699,45520
"The Villages, FL Metro Area",57226,57226,40526,52588,54263,58462,45540
"Thomaston, GA Micro Area",37640,37640,26333,41020,45000,31658,45580
"Thomasville, GA Micro Area",43740,43740,29332,46966,50950,35155,45620
"Tiffin, OH Micro Area",52500,52500,32069,62964,64258,38159,45660
"Tifton, GA Micro Area",45639,45639,27989,45304,53206,35919,45700
"Toccoa, GA Micro Area",47164,47164,33636,54366,49295,37088,45740
"Toledo, OH Metro Area",52601,52601,24342,57752,66084,41888,45780
"Topeka, KS Metro Area",57603,57603,31296,65387,68583,44891,45820
"Torrington, CT Micro Area",79906,79906,43328,81776,99161,57912,45860
"Traverse City, MI Micro Area",61019,61019,31185,66932,68292,50321,45900
"Trenton-Princeton, NJ Metro Area",81057,81057,31458,81297,100310,60782,45940
"Troy, AL Micro Area",37446,37446,9095,40731,50102,36739,45980
"Truckee-Grass Valley, CA Micro Area",66096,66096,52426,69914,81056,55244,46020
"Tucson, AZ Metro Area",53379,53379,28335,55921,64169,47814,46060
"Tullahoma-Manchester, TN Micro Area",51361,51361,36893,58735,58847,41044,46100
"Tulsa, OK Metro Area",55739,55739,33573,59574,67126,43241,46140
"Tupelo, MS Micro Area",46258,46258,35177,54987,51310,32612,46180
"Tuscaloosa, AL Metro Area",50408,50408,18538,56292,57166,39787,46220
"Twin Falls, ID Metro Area",52919,52919,32110,57446,62656,37046,46300
"Tyler, TX Metro Area",56810,56810,38993,60565,69859,45881,46340
"Ukiah, CA Micro Area",51416,51416,42910,52258,53490,47355,46380
"Union, SC Micro Area",41186,41186,31625,46310,46118,30235,46420
"Union City, TN Micro Area",39615,39615,23990,40170,48286,34632,46460
"Urbana, OH Micro Area",60112,60112,34413,62685,72863,41865,46500
"Urban Honolulu, HI Metro Area",85857,85857,42172,84746,103572,74220,46520
"Utica-Rome, NY Metro Area",55757,55757,31462,60701,68363,41679,46540
"Uvalde, TX Micro Area",41679,41679,30278,51000,44839,30646,46620
"Valdosta, GA Metro Area",41647,41647,24149,47131,53525,31147,46660
"Vallejo, CA Metro Area",81472,81472,48111,81604,96408,63294,46700
"Van Wert, OH Micro Area",54254,54254,44156,61321,60851,41851,46780
"Vermillion, SD Micro Area",50724,50724,22935,61105,80161,55000,46820
"Vernal, UT Micro Area",65264,65264,37750,73171,77153,41172,46860
"Vernon, TX Micro Area",45302,45302,-666666666,58793,51597,33693,46900
"Vicksburg, MS Micro Area",45113,45113,16788,49323,47090,40516,46980
"Victoria, TX Metro Area",57163,57163,28980,69145,64792,41397,47020
"Vidalia, GA Micro Area",40513,40513,28409,44637,45946,31871,47080
"Vincennes, IN Micro Area",47380,47380,24119,54231,63420,38477,47180
"Vineland-Bridgeton, NJ Metro Area",54149,54149,33706,53997,66500,41750,47220
"Vineyard Haven, MA Micro Area",71811,71811,-666666666,79077,95145,52630,47240
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",66759,66759,40626,65946,81683,54696,47260
"Visalia, CA Metro Area",49687,49687,32799,49859,59314,40188,47300
"Wabash, IN Micro Area",54259,54259,25625,55392,65775,41674,47340
"Waco, TX Metro Area",49077,49077,19589,50380,64618,41965,47380
"Wahpeton, ND-MN Micro Area",61136,61136,26875,68081,74669,40412,47420
"Walla Walla, WA Metro Area",57858,57858,24643,66336,70009,46195,47460
"Wapakoneta, OH Micro Area",64074,64074,54593,76495,77395,39772,47540
"Warner Robins, GA Metro Area",58832,58832,33468,57098,72563,46513,47580
"Warren, PA Micro Area",50250,50250,34643,58678,60933,36376,47620
"Kingsport-Bristol, TN-VA Metro Area",44869,44869,26965,50584,52425,36825,28700
"Kingston, NY Metro Area",64304,64304,29643,69613,77896,50794,28740
"Kingsville, TX Micro Area",43500,43500,20549,46959,55758,32087,28780
"Kinston, NC Micro Area",39402,39402,21644,41798,45906,33494,28820
"Kirksville, MO Micro Area",42042,42042,8801,49583,53736,33851,28860
"Klamath Falls, OR Micro Area",46491,46491,29324,51016,54712,38503,28900
"Knoxville, TN Metro Area",54636,54636,30580,60694,65451,43962,28940
"Kalamazoo-Portage, MI Metro Area",56511,56511,27804,63516,73867,45157,28020
"Kalispell, MT Micro Area",56182,56182,35462,64729,63361,43973,28060
"Kankakee, IL Metro Area",58902,58902,33240,64767,74435,40631,28100
"Kansas City, MO-KS Metro Area",66632,66632,38007,73033,80173,48710,28140
"Kapaa, HI Micro Area",83554,83554,43533,85742,91646,69503,28180
"Kearney, NE Micro Area",59493,59493,30058,64037,76000,46272,28260
"Keene, NH Micro Area",64751,64751,36442,71563,80369,47121,28300
"Kendallville, IN Micro Area",56789,56789,46917,65580,64828,37500,28340
"Kennett, MO Micro Area",36380,36380,16052,46110,37009,28387,28380
"Kennewick-Richland, WA Metro Area",67310,67310,37553,68133,82210,53332,28420
"Kerrville, TX Micro Area",55990,55990,33818,60306,63475,51663,28500
"Ketchikan, AK Micro Area",72728,72728,36667,75104,87326,55536,28540
"Key West, FL Micro Area",70033,70033,54265,68478,79088,61149,28580
"Kill Devil Hills, NC Micro Area",59381,59381,21042,55863,62778,60658,28620
"Killeen-Temple, TX Metro Area",54798,54798,35594,56764,65777,47662,28660
"Kokomo, IN Metro Area",52373,52373,32083,53167,65278,43443,29020
"Laconia, NH Micro Area",69447,69447,51458,73670,83379,51772,29060
"La Crosse-Onalaska, WI-MN Metro Area",58501,58501,28815,66766,75572,43141,29100
"Lafayette, LA Metro Area",51955,51955,26717,61739,59862,34299,29180
"Lafayette-West Lafayette, IN Metro Area",53321,53321,20801,58046,70450,48410,29200
"La Grande, OR Micro Area",52171,52171,29794,64153,66610,41206,29260
"LaGrange, GA-AL Micro Area",44439,44439,21101,53614,51186,34249,29300
"Lake Charles, LA Metro Area",51196,51196,31689,55195,64637,39909,29340
"Lake City, FL Micro Area",46494,46494,22264,54284,49204,38210,29380
"Lake Havasu City-Kingman, AZ Metro Area",45587,45587,43337,53578,49688,41465,29420
"Lakeland-Winter Haven, FL Metro Area",50584,50584,37180,53582,59726,41074,29460
"Lamesa, TX Micro Area",43239,43239,18136,37781,58125,35735,29500
"Lancaster, PA Metro Area",66056,66056,38143,71706,81735,47087,29540
"Lansing-East Lansing, MI Metro Area",57925,57925,25015,62399,71772,48563,29620
"Laramie, WY Micro Area",49322,49322,21090,54928,82022,49150,29660
"Laredo, TX Metro Area",46475,46475,20591,48623,53236,30542,29700
"Las Cruces, NM Metro Area",40973,40973,21212,43506,49146,39815,29740
"Las Vegas, NM Micro Area",30666,30666,12857,30129,37794,25753,29780
"Las Vegas-Henderson-Paradise, NV Metro Area",59340,59340,36219,61234,68636,47144,29820
"Laurel, MS Micro Area",40585,40585,35938,41976,47622,32632,29860
